peak,sigma,sigmaErr,mean,meanErr,tomeanErr,Wavenumber,WavenumberErr
207,0.2010223070097412,0.0119990468739749,311.50776910391386,0.0059179988305417,0.2011093996452601,0.003210192807956634,2.072500311022191e-06
235,0.2364935919863859,0.0169041687722812,313.4308964976479,0.0074791450764183,0.2366118269691887,0.0031904959312379225,2.4085343202074306e-06
268,0.2395429930602802,0.0090171922722104,315.77513311140393,0.0040863153185772,0.2395778443369927,0.0031668104772746776,2.4026515960698066e-06
426,0.2319533524549847,0.0450827460031513,326.6703015522454,0.0207118439906347,0.2328762293506977,0.003061190427315496,2.18225679117534e-06
452,0.2580302705659283,0.0300549300743073,328.34690214722974,0.0133138086013493,0.2583735242392292,0.003045559417373772,2.396526097249412e-06
487,0.4000372060859021,0.1258481145866047,330.8740009838244,0.050806608898516,0.4032506388845296,0.003022298509482731,3.6834075848354554e-06
533,0.2714104548101214,0.0858919895633806,333.8006469289096,0.0482556588099941,0.2756669069500789,0.0029958000656990116,2.474060327773935e-06
579,0.22376882828369,0.012444988400734,337.0226408378353,0.0055967269003221,0.2238388077690111,0.0029671597062856337,1.9706850835425058e-06
771,0.2682023929112709,0.0344897300233499,349.90203384329226,0.0135685668341399,0.2685453957327592,0.0028579428047790707,2.193435039690897e-06
826,0.260782358912324,0.0115818302459109,353.5347603772564,0.0045921797785758,0.2608227881819281,0.0028285761743283787,2.0868022244433325e-06
887,0.2474898464809433,0.0090498426554445,357.5488596368989,0.0037162976370118,0.2475177467966444,0.0027968205548621486,1.9361346100698865e-06
897,0.0021883698833095,135.04504504274203,357.65065107034286,1.3442428195362537,1.3442446008214142,0.0027960245479975924,1.0508972627791099e-05
1033,0.3316772393668146,0.1656612962973236,366.97854149288094,0.0747055895532229,0.3399863471148303,0.002724954968571096,2.524527679596945e-06
1092,0.3229631787748142,0.0292820641638557,370.8725714164687,0.0095468489032114,0.3231042512383786,0.002696343911820476,2.349055303234079e-06
1161,0.2788727561136921,0.0135997357950114,375.3456907915523,0.0052626931495029,0.2789224086401676,0.002664210685065114,1.9797964373485157e-06
1239,0.2762788590659171,0.0199350212021039,380.293757954384,0.0073326533760448,0.276376149065541,0.0026295461839264513,1.911006512472797e-06
1361,0.1348249229084446,0.0628180954859721,387.98578880936896,0.0360730055304834,0.139567265378635,0.0025774139900039874,9.271541193232657e-07
1381,0.2626538513413732,0.0628732750189791,389.2133290564463,0.024774994415586,0.2638197224863003,0.0025692850818451116,1.7415335670127206e-06
1458,0.3585671855856892,0.0287187000918359,394.02473296054416,0.0088239481229371,0.3586757430316669,0.0025379117510883143,2.3102290463617975e-06
1547,0.2685228768736609,0.0222335141501934,399.519679903645,0.0090084482443769,0.2686739428085256,0.0025030056097391177,1.6832522147661315e-06
1647,0.2998486491653918,0.0654328427960226,405.6329974820449,0.0281127407340493,0.3011636408962578,0.0024652826722862072,1.8303577619003599e-06
1780,0.0647348292533689,4281.11002957133,410.8389750468145,190.4926815768258,190.4926925761932,0.002434043653930476,0.0011285870076771026
1880,0.3820601737790242,0.0728823507137828,419.7461778895658,0.0200609349254665,0.3825864836845938,0.002382392151914002,2.171481443241054e-06
1994,0.3819312318342265,0.1943031176969735,426.6012783991501,0.0715520855212516,0.3885758185899506,0.002344109243536651,2.1351651162171924e-06
